slno, Wall_1,Humid1, Wall_2,Humid2, Wall_3,Humid3, Wall_4,Humid4, Outside
0,24,69,26,63,27,81,26,69,28
1,24,67,26,63,27,80,26,69,28
2,24,66,26,63,27,80,26,69,28
3,25,67,26,62,27,79,26,68,28
4,25,67,26,62,27,81,26,68,28
5,25,66,26,62,27,80,26,69,28
6,25,67,26,62,27,82,26,69,28
7,25,65,26,62,27,83,26,70,28
8,25,67,26,63,27,82,26,70,28
9,25,67,26,64,27,83,26,71,28
10,25,67,26,64,27,83,26,72,28
11,25,68,26,65,27,84,26,72,28
12,25,67,26,65,27,82,26,73,28
13,25,66,26,65,27,84,26,73,28
14,25,66,26,66,27,83,26,72,28
15,25,67,26,67,27,83,26,72,28
16,25,68,26,66,27,83,26,72,28
17,24,68,26,66,27,82,26,72,28
18,24,68,26,66,27,82,26,72,28
19,24,68,26,65,27,81,26,72,28
20,24,65,26,64,27,83,26,71,28
21,24,67,26,64,27,81,26,70,28
22,24,66,26,64,27,81,26,70,28
23,24,66,26,63,27,80,26,69,28
24,24,65,26,63,27,81,26,68,28
25,24,66,26,62,27,80,26,67,28
26,24,66,26,61,27,79,26,67,28
27,24,66,26,61,27,78,26,66,28
28,24,64,26,60,27,80,26,66,28
29,24,66,26,60,27,78,26,65,28
30,24,65,26,60,27,80,26,65,28
31,24,65,26,59,27,77,26,64,28
32,24,64,26,59,27,78,26,64,28
33,24,64,26,58,27,76,26,63,28
34,24,63,26,58,27,76,26,63,28
35,24,63,26,58,27,77,26,62,28
36,23,63,26,57,27,77,26,62,28
37,23,63,26,57,27,78,26,62,28
38,23,62,26,57,27,76,26,61,28
39,23,61,26,57,27,76,26,61,28
40,23,61,26,57,27,76,26,61,28
41,23,62,26,56,26,75,26,60,28
42,23,61,26,56,26,76,26,60,28
43,23,61,26,55,26,76,26,60,28
44,23,61,26,55,26,78,26,60,28
45,23,62,26,55,26,75,26,60,28
46,23,61,26,55,26,75,26,59,28
47,23,60,26,54,26,74,26,59,28
48,23,60,26,54,26,76,26,58,28
49,23,61,26,54,26,75,26,58,28
50,23,59,26,54,26,75,26,58,28
51,23,59,26,53,26,73,26,58,28
52,23,59,26,53,26,75,26,58,28
53,23,60,26,53,26,74,26,58,28
54,23,59,26,53,26,73,26,57,28
55,23,59,26,53,26,74,26,57,28
56,23,59,26,52,26,74,26,57,28
57,23,60,26,52,26,74,26,57,28
58,23,59,26,52,26,76,26,57,28
59,23,59,26,52,26,72,26,56,28
60,22,59,26,52,26,74,26,56,28
61,22,59,26,51,26,72,26,56,28
62,22,57,26,51,26,74,26,56,28
63,22,58,26,51,26,75,26,56,28
64,22,57,26,51,26,73,26,55,28
65,22,58,26,51,26,73,26,56,28
66,22,56,26,51,26,73,25,54,28
67,22,57,26,51,26,73,25,54,28
68,22,57,26,50,26,75,25,54,28
69,22,58,26,50,26,73,25,54,28
70,22,57,26,50,26,72,25,54,28
71,22,56,26,50,26,72,25,54,28
72,22,57,26,50,26,72,25,54,28
73,22,57,26,50,26,74,25,53,28
74,22,56,26,50,26,73,25,53,28
75,22,57,26,50,26,73,25,53,28
76,22,57,26,48,26,72,25,53,28
77,22,56,26,49,26,73,25,53,28
78,22,56,26,49,26,73,25,53,28
79,22,56,25,48,26,72,25,53,28
80,22,56,25,48,26,72,25,53,28
81,22,56,25,48,26,72,25,53,28
82,22,56,25,48,26,72,25,53,28
83,22,56,25,47,26,73,25,52,28
84,22,55,25,48,26,72,25,52,28
85,22,55,25,48,26,72,25,52,28
86,22,55,25,47,26,74,25,52,28
87,22,55,25,48,26,70,25,51,28
88,22,55,25,47,26,72,25,51,28
89,22,56,25,47,26,70,25,51,28
90,22,55,25,47,26,70,25,51,28
91,22,56,25,47,26,72,25,51,28
92,22,56,25,47,26,72,25,51,28
93,22,55,25,47,26,72,25,51,28
94,22,54,25,47,26,73,25,50,28
95,22,54,25,47,26,71,25,50,28
96,22,55,25,47,26,70,25,50,28
97,22,55,25,47,26,71,25,50,28
98,22,56,25,47,26,71,25,50,28
99,22,53,25,46,26,71,25,50,28
100,22,54,25,46,26,72,25,50,28
101,22,54,25,47,26,71,25,50,28
102,22,53,25,46,26,71,25,50,28
103,22,54,25,46,26,71,25,49,28
104,22,55,25,46,26,71,25,49,28
105,22,55,25,46,26,70,25,49,28
106,22,56,25,46,26,72,25,49,28
107,22,55,25,46,26,70,25,50,28
108,22,54,25,46,26,69,25,50,28
109,23,55,25,46,26,71,25,50,28
110,23,53,25,46,26,72,25,50,28
111,23,54,25,47,26,71,25,51,28
112,23,53,25,45,26,73,25,51,28
113,23,53,25,45,26,71,25,50,28
114,23,53,25,46,26,70,25,50,28
115,23,54,25,46,26,72,25,50,28
116,23,54,25,46,26,72,25,50,28
117,23,54,25,46,26,70,25,50,28
118,23,54,25,45,26,70,25,50,28
119,23,54,25,46,26,70,25,49,28
120,23,53,25,46,26,69,25,49,28
121,23,54,25,46,26,72,25,49,28
122,23,53,25,45,26,72,25,49,28
123,23,55,25,46,26,72,25,49,28
124,23,55,25,46,26,72,25,49,28
125,23,55,25,45,26,73,25,52,28
126,23,55,25,46,26,76,25,54,28
127,23,56,25,45,26,79,25,55,28
128,23,54,25,46,26,76,25,55,28
129,23,56,25,48,26,76,25,56,28
130,23,57,25,49,26,76,25,58,28
131,23,57,25,49,26,76,25,59,28
132,23,58,25,50,26,76,25,60,28
133,23,57,25,50,26,76,25,60,28
134,23,57,25,52,26,77,25,60,28
135,23,57,25,52,26,77,25,60,28
136,23,57,25,53,26,75,25,60,28
137,23,58,25,53,26,77,25,60,28
138,23,59,25,53,26,76,25,60,28
139,23,59,25,53,26,76,25,60,28
140,23,59,25,54,26,75,25,60,28
141,23,59,25,54,26,76,25,59,28
142,23,60,25,54,26,74,25,59,28
143,23,60,25,53,26,75,25,59,28
144,23,59,25,53,26,76,25,58,28
145,23,58,25,53,26,76,25,58,28
146,23,57,25,52,26,78,25,58,28
147,23,57,25,52,26,76,25,57,28
148,23,57,25,52,26,75,25,57,28
149,23,58,25,51,26,74,25,56,28
150,23,58,25,51,26,73,25,56,28
151,23,58,25,51,26,75,25,56,28
152,23,56,25,51,26,74,25,56,28
153,23,57,25,51,26,74,25,55,28
154,23,57,25,50,26,75,25,55,28
155,23,58,25,50,26,74,25,55,28
156,23,57,25,50,26,74,25,54,28
157,22,57,25,50,26,73,25,54,28
158,22,56,25,49,26,72,25,54,28
159,22,56,25,50,26,73,25,54,28
160,22,57,25,50,26,73,25,54,28
161,22,56,25,50,26,73,25,54,28
162,22,55,25,49,26,72,25,53,28
163,22,56,25,49,26,72,25,53,28
164,22,56,25,49,26,74,25,53,28
165,22,57,25,49,26,74,25,53,28
166,22,57,25,48,26,74,25,53,28
167,22,57,25,48,26,72,25,52,28
168,22,56,25,48,26,73,25,52,28
169,22,56,25,48,26,72,25,52,28
170,22,54,25,48,26,72,25,52,28
171,22,54,25,48,26,73,25,52,28
172,22,55,25,48,26,72,25,52,28
173,22,56,25,48,26,72,25,52,28
174,22,55,25,48,26,73,25,52,28
175,22,54,25,47,26,74,25,52,28
176,22,55,25,47,26,74,25,51,28
177,22,54,25,47,26,72,25,51,28
178,22,54,25,47,26,71,25,51,28
179,22,54,25,47,26,72,25,51,28
180,22,54,25,47,26,71,25,51,28
181,22,55,25,47,26,71,25,50,28
182,22,54,25,47,26,70,25,50,28
183,22,54,25,46,26,71,25,50,28
184,22,55,25,46,26,73,25,50,28
185,22,54,25,46,26,72,25,50,28
186,22,55,25,46,26,72,25,50,28
187,22,54,25,46,26,71,25,50,28
188,22,53,25,46,26,72,25,50,28
189,22,54,25,46,26,71,25,50,28
190,22,54,25,46,26,70,25,50,28
191,22,53,25,46,26,72,25,50,28
192,22,54,25,46,26,71,25,50,28
193,22,53,25,46,26,72,25,49,28
194,22,52,25,46,26,71,25,49,28
195,22,54,25,46,26,70,25,50,28
196,22,54,25,46,26,71,25,49,28
197,22,54,25,46,26,71,25,49,28
198,22,54,25,45,26,71,25,49,28
199,22,53,25,46,26,71,25,49,28
200,22,54,25,45,26,72,25,49,28
201,22,52,25,45,26,72,25,49,28
202,22,52,25,46,26,71,25,49,28
203,22,53,25,46,26,72,25,49,28
204,22,53,25,45,26,71,25,49,28
205,22,53,25,46,26,71,25,49,28
206,22,53,25,46,26,71,25,49,28
207,22,52,25,45,26,72,25,49,28
208,22,52,25,45,26,72,25,49,28
209,22,53,25,45,26,72,25,49,28
210,22,53,25,45,26,70,25,49,28
211,22,52,25,45,26,71,25,48,28
212,22,53,25,45,26,70,25,49,28
213,22,53,25,45,26,70,25,49,28
214,22,53,25,45,26,70,25,48,28
215,22,52,25,45,26,69,25,48,28
216,22,53,25,45,25,69,25,48,28
217,22,54,25,45,25,70,25,48,28
218,22,52,25,45,25,69,25,48,28
219,22,52,25,45,25,69,25,48,28
220,22,52,25,45,25,70,25,48,28
221,22,52,25,44,25,70,25,48,28
222,22,52,25,44,25,71,25,48,28
223,22,53,25,45,25,67,25,48,28
224,22,52,25,45,25,68,25,49,28
225,22,52,25,45,25,71,24,50,28
226,22,52,25,44,25,71,24,50,28
227,22,53,25,44,25,67,24,49,28
228,22,52,25,45,25,70,24,49,28
229,22,53,25,44,25,69,24,49,28
230,22,52,25,44,25,70,24,49,28
231,22,53,25,44,25,70,24,49,28
232,22,52,25,44,25,70,24,49,28
233,22,53,25,44,25,68,24,49,28
234,22,54,25,45,25,70,24,49,28
235,22,53,25,44,25,69,24,48,28
236,22,52,25,44,25,69,24,48,28
237,22,52,25,44,25,70,24,48,28
238,22,52,25,44,25,69,24,48,28
239,22,52,25,44,25,68,24,48,28
240,22,52,25,44,25,70,24,48,28
241,22,52,25,44,25,70,24,49,28
242,22,52,25,45,25,71,24,48,28
243,22,54,25,45,25,70,24,48,28
244,22,56,25,44,25,71,24,48,28
245,22,57,25,44,25,71,24,51,28
246,23,56,25,45,25,73,24,54,28
247,23,56,25,46,25,74,24,55,28
248,23,55,25,46,25,77,24,56,28
249,23,56,25,48,25,75,24,58,28
250,23,57,25,48,25,79,24,59,28
251,23,57,25,48,25,75,24,60,28
252,23,57,25,49,25,74,24,60,28
253,23,57,25,49,25,76,24,60,28
254,23,60,25,50,25,76,24,61,28
255,23,60,25,51,25,77,24,61,28
256,23,56,25,52,26,78,24,60,28
257,23,56,25,53,26,78,24,61,28
258,23,58,25,53,26,75,24,60,28
259,23,57,25,53,26,76,25,60,28
260,23,58,25,53,26,75,25,60,28
261,23,58,25,54,26,75,25,60,28
262,23,58,25,54,26,73,25,60,28
263,23,58,25,53,26,75,25,59,28
264,23,58,25,53,26,76,25,59,28
265,23,57,25,53,26,76,25,59,28
266,23,57,25,52,26,75,25,58,28
267,23,58,25,52,26,77,25,58,28
268,23,57,25,52,26,77,25,57,28
269,22,58,25,52,26,77,25,57,28
270,22,57,25,51,26,79,25,57,28
271,22,57,25,51,26,75,25,57,28
272,22,57,25,51,26,74,25,56,28
273,22,56,25,51,26,74,25,56,28
274,22,57,25,50,26,75,25,55,28
275,22,57,25,50,26,76,25,55,28
276,22,56,25,50,26,78,25,55,28
277,22,57,25,50,26,73,25,54,28
278,22,57,25,49,26,73,25,54,28
279,22,56,25,49,26,72,25,54,28
280,22,57,25,49,26,75,25,54,28
281,22,57,25,49,26,73,25,54,28
282,22,56,25,49,26,74,25,53,28
283,22,56,25,49,26,73,25,53,28
284,22,56,25,49,26,72,25,53,28
285,22,55,25,49,26,74,25,53,28
286,22,55,25,49,26,73,25,53,28
287,22,55,25,48,26,72,25,53,28
288,22,55,25,48,26,71,25,52,28
289,22,55,25,48,26,71,25,52,28
290,22,55,25,48,26,70,25,52,28
291,22,54,25,48,26,70,25,52,28
292,22,55,25,48,26,71,25,52,28
293,22,54,25,48,26,70,25,52,28
294,22,54,25,48,26,71,25,52,28
295,22,55,25,47,26,71,25,52,28
296,22,55,25,48,26,72,24,51,28
297,22,57,25,47,26,72,24,54,28
298,22,59,25,48,26,74,24,56,28
299,23,58,25,48,26,74,24,57,28
300,23,57,25,48,26,75,24,58,28
301,23,57,25,49,26,76,24,59,28
302,23,57,25,50,26,76,24,60,28
303,23,58,25,52,26,77,24,62,28
304,23,59,25,52,26,77,24,62,28
305,23,59,25,52,26,78,24,63,28
306,23,59,25,53,26,79,24,63,28
307,23,59,25,53,26,78,24,63,28
308,23,59,25,54,26,78,24,62,28
309,23,59,25,55,26,76,24,63,28
310,23,59,25,55,26,74,24,63,28
311,23,62,25,55,26,75,24,62,28
312,23,61,25,55,26,76,24,62,28
313,23,61,25,55,26,76,24,62,28
314,23,61,25,55,26,76,24,62,28
315,23,61,25,55,26,76,24,61,28
316,23,60,25,55,26,77,24,61,28
317,23,59,25,54,26,75,25,60,28
318,23,59,25,54,26,79,25,60,28
319,23,59,25,54,26,79,25,59,28
320,23,59,25,53,26,76,25,59,28
321,23,58,25,53,26,77,25,58,28
322,23,58,25,53,26,79,25,58,28
323,22,59,25,53,26,75,25,58,28
324,22,58,25,52,26,74,25,57,28
325,22,58,25,52,26,77,25,57,28
326,22,58,25,52,26,77,25,57,28
327,22,58,25,52,26,76,25,57,28
328,22,57,25,51,26,73,25,56,28
329,22,57,25,51,26,75,25,56,28
330,22,57,25,51,26,75,25,56,28
331,22,57,25,50,26,75,25,55,28
332,22,57,25,50,26,74,25,55,28
333,22,57,25,50,26,73,25,55,28
334,22,56,25,50,26,75,25,55,28
335,22,57,25,50,26,73,25,54,28
336,22,57,25,50,26,74,24,54,28
337,22,57,25,50,25,74,24,54,28
338,22,57,25,49,25,74,24,54,28
339,22,56,25,49,25,72,24,54,28
340,22,57,25,49,25,71,24,53,28
341,22,56,25,49,25,73,24,53,28
342,22,56,25,49,25,75,24,53,28
343,22,57,25,49,25,71,24,53,28
344,22,56,25,49,25,71,24,53,28
345,22,56,25,49,25,73,24,53,28
346,22,56,25,48,25,73,24,52,28
347,22,57,25,49,25,70,24,52,28
348,22,59,25,48,25,72,24,53,28
349,22,59,25,48,25,74,24,55,28
350,22,59,25,48,25,77,24,57,28
351,22,59,25,48,25,77,24,58,28
352,23,58,25,49,25,77,24,59,28
353,23,58,25,50,25,76,24,60,28
354,23,59,25,51,25,79,24,62,28
355,23,59,25,52,25,78,24,63,28
356,23,60,25,53,25,77,24,64,28
357,23,59,25,52,25,78,24,64,28
358,23,60,25,53,25,79,24,64,28
359,23,60,25,54,25,79,24,63,28
360,23,59,25,55,25,79,24,63,28
361,23,59,25,56,25,78,24,64,28
362,23,60,25,56,25,80,24,63,28
363,23,63,25,56,25,78,24,63,28
364,23,63,25,56,25,82,24,64,28
365,23,63,25,56,25,81,24,65,28
366,23,62,25,56,25,80,24,65,28
367,24,63,25,56,26,82,24,66,28
368,24,62,25,56,26,82,24,66,28
369,24,63,25,58,26,82,24,67,28
370,24,62,25,58,26,81,24,68,28
371,24,62,25,58,26,82,24,69,28
372,24,64,25,58,26,83,24,69,28
373,24,65,25,59,26,84,24,69,28
374,24,63,25,60,26,85,24,69,28
375,24,63,25,60,26,84,24,69,28
376,24,63,25,60,26,82,25,69,28
377,23,64,25,60,26,81,25,68,28
378,23,65,25,60,26,81,25,68,28
379,23,65,25,61,26,81,25,68,28
380,23,64,25,60,26,84,25,67,28
381,23,65,25,60,26,81,25,67,28
382,23,64,25,59,26,80,25,66,28
383,23,63,25,59,26,80,25,65,28
384,23,63,25,59,26,79,25,65,28
385,23,63,25,58,26,80,25,64,28
386,23,63,25,58,26,79,25,64,28
387,23,63,25,57,26,80,25,63,28
388,23,62,25,57,26,78,25,63,28
389,23,62,25,57,26,79,25,62,28
390,23,63,25,56,26,79,25,62,28
391,23,62,25,56,26,79,25,62,28
